เวลา,ตัว,ท่า,ระยะจริง_cm,px_w,px_h,size_px,conf,จำนวนเฟรม,ความกว้างเฟรม,โมเดล
2026-07-10 17:46:37,elephant,ตรง,100.0,220.3,245.8,232.7,0.915,15,1280,best.pt@157ee2be
2026-07-10 17:47:11,elephant,ซ้าย,100.0,249.4,247.2,248.3,0.92,15,1280,best.pt@157ee2be
2026-07-10 17:47:27,elephant,ขวา,100.0,226.8,244.9,235.6,0.944,15,1280,best.pt@157ee2be
2026-07-10 17:47:36,elephant,หลัง,100.0,212.0,234.6,223.1,0.938,15,1280,best.pt@157ee2be
2026-07-10 17:47:51,elephant,หัว,100.0,248.7,171.8,206.7,0.919,15,1280,best.pt@157ee2be
2026-07-10 17:48:10,elephant,ตูด,100.0,228.2,198.4,212.8,0.949,15,1280,best.pt@157ee2be
2026-07-10 17:49:11,elephant,หงายท้อง,100.0,224.7,168.3,194.5,0.918,15,1280,best.pt@157ee2be
2026-07-10 17:49:25,dino,ตรง,100.0,193.5,299.8,240.8,0.974,15,1280,best.pt@157ee2be
2026-07-10 17:50:20,dino,ซ้าย,100.0,300.9,297.3,299.1,0.947,15,1280,best.pt@157ee2be
2026-07-10 17:50:30,dino,ขวา,100.0,297.4,294.9,296.1,0.934,15,1280,best.pt@157ee2be
2026-07-10 17:50:54,dino,หลัง,100.0,189.6,295.5,236.7,0.936,15,1280,best.pt@157ee2be
2026-07-10 17:51:08,dino,หัว,100.0,170.8,225.8,196.3,0.855,15,1280,best.pt@157ee2be
2026-07-10 17:51:19,dino,ตูด,100.0,204.7,264.7,232.8,0.916,15,1280,best.pt@157ee2be
2026-07-10 17:51:31,dino,หงายท้อง,100.0,241.1,207.1,223.5,0.904,15,1280,best.pt@157ee2be
2026-07-10 17:51:56,capybara,ตรง,100.0,169.8,232.8,198.8,0.932,15,1280,best.pt@157ee2be
2026-07-10 17:52:04,capybara,ซ้าย,100.0,182.8,224.8,202.7,0.906,15,1280,best.pt@157ee2be
2026-07-10 17:52:10,capybara,ขวา,100.0,189.3,228.7,208.1,0.929,15,1280,best.pt@157ee2be
2026-07-10 17:52:16,capybara,หลัง,100.0,169.1,221.6,193.6,0.931,15,1280,best.pt@157ee2be
2026-07-10 17:52:25,capybara,หัว,100.0,159.9,160.7,160.3,0.868,15,1280,best.pt@157ee2be
2026-07-10 17:52:32,capybara,ตูด,100.0,174.4,172.7,173.5,0.855,15,1280,best.pt@157ee2be
2026-07-10 17:52:38,capybara,หงายท้อง,100.0,171.4,172.5,172.0,0.886,15,1280,best.pt@157ee2be
2026-07-10 17:54:04,capybara,ตรง,175.0,97.8,125.6,110.8,0.956,15,1280,best.pt@157ee2be
2026-07-10 17:54:15,capybara,ซ้าย,175.0,105.9,127.1,116.0,0.933,15,1280,best.pt@157ee2be
2026-07-10 17:54:22,capybara,ขวา,175.0,107.8,127.6,117.3,0.943,15,1280,best.pt@157ee2be
2026-07-10 17:54:27,capybara,หลัง,175.0,100.1,124.9,111.8,0.938,15,1280,best.pt@157ee2be
2026-07-10 17:54:36,capybara,หัว,175.0,93.9,92.8,93.4,0.919,15,1280,best.pt@157ee2be
2026-07-10 17:54:43,capybara,ตูด,175.0,99.3,93.4,96.3,0.928,15,1280,best.pt@157ee2be
2026-07-10 17:54:51,capybara,หงายท้อง,175.0,100.5,94.7,97.5,0.892,15,1280,best.pt@157ee2be
2026-07-10 17:55:17,elephant,ตรง,175.0,141.6,139.0,140.3,0.931,15,1280,best.pt@157ee2be
2026-07-10 17:55:23,elephant,ซ้าย,175.0,130.2,143.5,136.7,0.897,15,1280,best.pt@157ee2be
2026-07-10 17:55:28,elephant,ขวา,175.0,123.9,136.6,130.1,0.951,15,1280,best.pt@157ee2be
2026-07-10 17:55:33,elephant,หลัง,175.0,132.5,136.7,134.6,0.929,15,1280,best.pt@157ee2be
2026-07-10 17:55:43,elephant,หัว,175.0,115.9,107.7,111.7,0.912,15,1280,best.pt@157ee2be
2026-07-10 17:55:53,elephant,ตูด,175.0,127.0,112.4,119.5,0.926,15,1280,best.pt@157ee2be
2026-07-10 17:55:58,elephant,หงายท้อง,175.0,122.6,108.6,115.4,0.936,15,1280,best.pt@157ee2be
2026-07-10 17:56:24,dino,ตรง,175.0,112.9,174.6,140.4,0.959,15,1280,best.pt@157ee2be
2026-07-10 17:56:28,dino,ซ้าย,175.0,170.6,172.1,171.4,0.961,15,1280,best.pt@157ee2be
2026-07-10 17:56:35,dino,ขวา,175.0,168.7,173.8,171.2,0.896,15,1280,best.pt@157ee2be
2026-07-10 17:56:42,dino,หลัง,175.0,112.6,170.4,138.5,0.96,15,1280,best.pt@157ee2be
2026-07-10 17:56:50,dino,หัว,175.0,101.0,132.4,115.6,0.942,15,1280,best.pt@157ee2be
2026-07-10 17:56:56,dino,ตูด,175.0,115.1,150.0,131.4,0.958,15,1280,best.pt@157ee2be
2026-07-10 17:57:08,dino,หงายท้อง,175.0,157.6,114.0,134.0,0.849,15,1280,best.pt@157ee2be
